event_title,platform,topic_tags,event_type,event_date,location,speakers_orgs,url,audience_segment
Banglore | Crypto Traders and Developers/ Career Meetup,AllEvents,General,Business Summit,05-08-2025,to beupdated,,https://allevents.in/bangalore/banglore-|-crypto-traders-and-developers-career-meetup-tickets/80007392305669,Developers
"Bongo Utsav 2.0- Bengaluru @ Gate 9, Palace Ground",AllEvents,General,Business Summit,03-08-2025,Gate 9 Palace Grounds,,https://allevents.in/bangalore/bongo-utsav-20-bengaluru-gate-9-palace-ground/200028072622914,Business Audience
AICTE  ISTE Sponsored (NCEE 2025),AllEvents,Tech,Networking,20-06-2025,Sri Ramakrishna Institute of Technology,,https://allevents.in/coimbatore/aicte-iste-sponsored-ncee-2025-tickets/80003416551529,Business Audience
India Intex Expo 2025,AllEvents,General,Networking,22-06-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-intex-expo-2025-tickets/80001727540603,Business Audience
Toastmasters Club - Coimbatore Speakers Forum,AllEvents,General,Networking,20-06-2025,"The Coimbatore Branch Of SIRC of ICAI Bhawan, Diwan Bahadur Road, R.S. Puram, Coimbatore, Tamil Nadu, India",,https://allevents.in/coimbatore/toastmasters-club-coimbatore-speakers-forum-tickets/80001991692215,Business Audience
Upcoming Dubai Real Estate Event in Coimbatore Book Your Ticket Free,AllEvents,Tech,Networking,28-06-2025,Le Meridien,,https://allevents.in/coimbatore/upcoming-dubai-real-estate-event-in-coimbatore-book-your-ticket-free-tickets/80001102809551,Business Audience
INTERIO & EXTERIO EXPO 2025,AllEvents,General,Networking,10-08-2025,Codissia Trade Fair Centre,,https://allevents.in/coimbatore/interio-and-exterio-expo-2025-tickets/80002366728280,Business Audience
India Poultry Show 2026,AllEvents,General,Networking,25-01-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-poultry-show-2026-tickets/80006933199582,Business Audience
TOPLAST - Total Plastics Exhibition,AllEvents,General,Networking,03-08-2025,Codissia Trade Centre,,https://allevents.in/coimbatore/toplast-total-plastics-exhibition/200028173158942,Business Audience
INDIA FOOD AND DRINK PROCESSING EXPO 2025,AllEvents,General,Networking,04-07-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-food-and-drink-processing-expo-2025/3700027829071724,Business Audience
INDIA HORECA EXPO - COIMBATORE 2025,AllEvents,General,Networking,04-07-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-horeca-expo-coimbatore-2025/3700027773942820,Business Audience
Diwali Shopping Expo,AllEvents,General,Networking,19-10-2025,Ukkadam lake view,,https://allevents.in/coimbatore/diwali-shopping-expo/80003229030855,Business Audience
GO GLAM SHOPPING EXHIBITION,AllEvents,General,Networking,27-07-2025,Suguna Kalyana Mandapam,,https://allevents.in/coimbatore/go-glam-shopping-exhibition/80001700424473,Business Audience
WAREMAT - Warehousing Material Handling Storage Logistics Transportation and Supply Chain Expo,AllEvents,Tech,Networking,03-08-2025,"Codissia Trade Fair Complex Road, Coimbatore, India",,https://allevents.in/coimbatore/waremat-warehousing-material-handling-storage-logistics-transportation-and-supply-chain-expo/200028173159342,Business Audience
