event_title,platform,topic_tags,event_type,event_date,location,speakers_orgs,url,audience_segment
Bengaluru Founders Breakfast Club 2025,AllEvents,,Business Summit,21-06-2025,Nanav Cafe,,https://allevents.in/bangalore/bengaluru-founders-breakfast-club-2025-tickets/80009496642063,
MEWAR YOUTH CONCLAVE,AllEvents,,Business Summit,22-06-2025,Princess Golf,,https://allevents.in/bangalore/mewar-youth-conclave-tickets/80001061959728,
Ecommerce Events & Conferences - E-commerce & Digital Natives Summit 2025,AllEvents,,Business Summit,27-06-2025,Conrad Bengaluru,,https://allevents.in/bangalore/ecommerce-events-and-conferences-e-commerce-and-digital-natives-summit-2025/80001910021716,
Upcoming Dubai Real Estate Expo in Banglore Book Your Ticket Free,AllEvents,,Business Summit,29-06-2025,"JW Marriott Hotel, Vittal Mallya Road, KG Halli, Shanthala Nagar, Ashok Nagar, Bangalore, Karnataka, India",,https://allevents.in/bangalore/upcoming-dubai-real-estate-expo-in-banglore-book-your-ticket-free-tickets/80002558171883,
Auto show 2025,AllEvents,,Business Summit,21-09-2025,Tripura Vasini White Petals,,https://allevents.in/bangalore/auto-show-2025-tickets/80002412284819,
Mega Wedding Expo-2025,AllEvents,,Business Summit,15-08-2025,Tripuravasini,,https://allevents.in/bangalore/mega-wedding-expo-2025-tickets/80009050100951,
Founders Meet | Bengaluru | June 27,AllEvents,,Business Summit,27-06-2025,Fortius Origin,,https://allevents.in/bangalore/founders-meet-|-bengaluru-|-june-27-tickets/80005269953592,
Banglore | Crypto Traders and Developers/ Career Meetup,AllEvents,,Business Summit,05-08-2025,to beupdated,,https://allevents.in/bangalore/banglore-|-crypto-traders-and-developers-career-meetup-tickets/80007392305669,
"Bongo Utsav 2.0- Bengaluru @ Gate 9, Palace Ground",AllEvents,,Business Summit,03-08-2025,Gate 9 Palace Grounds,,https://allevents.in/bangalore/bongo-utsav-20-bengaluru-gate-9-palace-ground/200028072622914,
AICTE  ISTE Sponsored (NCEE 2025),AllEvents,,Networking,20-06-2025,Sri Ramakrishna Institute of Technology,,https://allevents.in/coimbatore/aicte-iste-sponsored-ncee-2025-tickets/80003416551529,
India Intex Expo 2025,AllEvents,,Networking,22-06-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-intex-expo-2025-tickets/80001727540603,
Toastmasters Club - Coimbatore Speakers Forum,AllEvents,,Networking,20-06-2025,"The Coimbatore Branch Of SIRC of ICAI Bhawan, Diwan Bahadur Road, R.S. Puram, Coimbatore, Tamil Nadu, India",,https://allevents.in/coimbatore/toastmasters-club-coimbatore-speakers-forum-tickets/80001991692215,
Upcoming Dubai Real Estate Event in Coimbatore Book Your Ticket Free,AllEvents,,Networking,28-06-2025,Le Meridien,,https://allevents.in/coimbatore/upcoming-dubai-real-estate-event-in-coimbatore-book-your-ticket-free-tickets/80001102809551,
INTERIO & EXTERIO EXPO 2025,AllEvents,,Networking,10-08-2025,Codissia Trade Fair Centre,,https://allevents.in/coimbatore/interio-and-exterio-expo-2025-tickets/80002366728280,
India Poultry Show 2026,AllEvents,,Networking,25-01-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-poultry-show-2026-tickets/80006933199582,
TOPLAST - Total Plastics Exhibition,AllEvents,,Networking,03-08-2025,Codissia Trade Centre,,https://allevents.in/coimbatore/toplast-total-plastics-exhibition/200028173158942,
INDIA FOOD AND DRINK PROCESSING EXPO 2025,AllEvents,,Networking,04-07-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-food-and-drink-processing-expo-2025/3700027829071724,
INDIA HORECA EXPO - COIMBATORE 2025,AllEvents,,Networking,04-07-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-horeca-expo-coimbatore-2025/3700027773942820,
Diwali Shopping Expo,AllEvents,,Networking,19-10-2025,Ukkadam lake view,,https://allevents.in/coimbatore/diwali-shopping-expo/80003229030855,
GO GLAM SHOPPING EXHIBITION,AllEvents,,Networking,27-07-2025,Suguna Kalyana Mandapam,,https://allevents.in/coimbatore/go-glam-shopping-exhibition/80001700424473,
WAREMAT - Warehousing Material Handling Storage Logistics Transportation and Supply Chain Expo,AllEvents,,Networking,03-08-2025,"Codissia Trade Fair Complex Road, Coimbatore, India",,https://allevents.in/coimbatore/waremat-warehousing-material-handling-storage-logistics-transportation-and-supply-chain-expo/200028173159342,
